Time_s,Output
0.76038,-3.16656553732572e-319
0.761381,-3.03687330529239e-319
0.762381,-2.91760585838631e-319
0.763382,-2.80238974977613e-319
0.764382,-2.69522691119317e-319
0.765383,-2.59078143366233e-319
0.766383,-2.49695836751708e-319
0.767384,-2.40852061691149e-319
0.768384,-2.32003345974133e-319
0.769385,1.68091014028109e-318
0.770385,1.63270415521636e-318
0.771386,1.55633642833868e-318
0.772386,1.48416825945065e-318
0.773387,1.41599708163747e-318
0.774387,1.3519118267154e-318
0.775388,1.29090954142338e-318
0.776388,1.23342500352976e-318
0.777389,-7.32086711381725e-319
0.778389,-6.97867724750761e-319
0.77939,-6.64004465384802e-319
0.78039,-6.31509767857823e-319
0.781391,-6.0133223820984e-319
0.782391,-5.73002514077303e-319
0.783392,-5.45739971739783e-319
0.784392,-5.20216540475624e-319
0.785393,-4.96145662210238e-319
0.786393,-4.73319829372373e-319
0.787394,-4.51778567213694e-319
0.788394,-4.31413181292118e-319
0.789395,-4.12144621104309e-319
0.790395,-3.9440272376215e-319
0.791396,-3.77184536004583e-319
0.792396,-3.60929776256406e-319
0.793397,-3.45534690731993e-319
0.794397,-3.31117855186345e-319
0.795398,-3.17353186293208e-319
0.796398,-3.04522301470711e-319
0.797399,-2.9248192168156e-319
0.798399,-2.80861497691373e-319
0.7994,-2.70174857771827e-319
0.8004,-2.59903232994788e-319
0.801401,-2.50219546336299e-319
0.802401,-2.41301661428865e-319
0.803402,-2.32452945711848e-319
0.804402,1.6558412494111e-318
0.805403,1.6375459985456e-318
0.806403,1.56090159490625e-318
0.807404,1.48851603713405e-318
0.808404,1.420152173719e-318
0.809405,1.35575071678359e-318
0.810405,1.29457056785907e-318
0.811406,1.23681923451668e-318
0.812406,-7.32432557333814e-319
0.813407,-7.00026791623087e-319
0.814407,-6.66044956502126e-319
0.815408,-6.33451445845979e-319
0.816408,-6.03125696504243e-319
0.817409,-5.74761387776497e-319
0.818409,-5.47513667408353e-319
0.81941,-5.21713559382523e-319
0.82041,-4.97538927331511e-319
0.821411,-4.74718035150103e-319
0.822411,-4.53018671984756e-319
0.823412,-4.32579176216303e-319
0.824412,-4.13355081936621e-319
0.825413,-3.95514371465293e-319
0.826413,-3.78187489265641e-319
0.827414,-3.61893204265796e-319
0.828414,-3.46433890207424e-319
0.829415,-3.32041757944068e-319
0.830415,-3.18148631983012e-319
0.831416,-3.05485729480101e-319
0.832416,-2.93178554242196e-319
0.833417,-2.8158777419076e-319
0.834417,-2.70693626699961e-319
0.835418,-2.60431883235838e-319
